english,bodo,mizo,category
able,खांनो,thei,Common Words - Adjectives
time,बेला,hun,Common Words - Other
people,मानो,mi,Common Words - Other
way,लाम,kawng,Common Words - Other
thing,गोब,thil,Common Words - Other
man,मिसो,pa,Common Words - Other
world,जाथि,ram,Common Words - Other
life,जिबान,nunphung,Common Words - Other
part,गोबाय,kawng,Common Words - Other
place,जायगा,hmun,Common Words - Other
case,गोब,thil,Common Words - Other
number,नम्बर,zat,Common Words - Other
problem,लाङाय,huna,Common Words - Other
fact,सच,dik,Common Words - Other
group,गुसुथि,group,Common Words - Other
idea,मोनो,ngaihtuahna,Common Words - Other
blackboard,ब्लैकबोर्ड,blackboard,School - Objects
whiteboard,श्वेत बोर्ड,white board,School - Objects
principal,मुख्य उखार,zirtir ber,School - People & Roles
coach,प्रशिक्षक,coach,School - People & Roles
tutor,निजी उखार,zirtir nangai,School - People & Roles
mentor,गुरु,guide,School - People & Roles
classmate,सिँ सुबुं,classroom friend,School - People & Roles
subject,विषय,subject,School - Classes & Subjects
math,गणित,math,School - Classes & Subjects
science,विज्ञान,science,School - Classes & Subjects
history,इतिहास,history,School - Classes & Subjects
geography,भूगोल,geography,School - Classes & Subjects
language,भाषा,language,School - Classes & Subjects
arts,कला,arts,School - Classes & Subjects
sport,खेल,sport,School - Classes & Subjects
music,संगीत,music,School - Classes & Subjects
computer,संगणक,computer,School - Classes & Subjects
learn,होनना,zir,School - Activities
study,होनना,zir,School - Activities
test,परीखा,test,School - Activities
practice,नायदोनाय,practice,School - Activities
example,उदाहरण,example,School - Activities
exercise,व्यायाम,exercise,School - Activities
project,प्रकल्प,project,School - Activities
pair,जोड़ी,pair,School - Activities
school,स्कूल,school,School - Facilities
campus,परिसर,campus,School - Facilities
lab,प्रयोगशाला,lab,School - Facilities
library,पुस्तकालय,library,School - Facilities
read aloud,जोर से पाठ,sak rawh,Actions - Learning
silent reading,मौन पाठ,thial chhiar,Actions - Learning
group work,गुसुथि गोब,group work,Actions - Learning
pair work,जोड़ी गोब,pair work,Actions - Learning
project work,प्रकल्प गोब,project work,Actions - Learning
submit,फोरायदों,thawn,Actions - Learning
repeat,दावगासे,tung,Actions - Learning
translate,भाषान्तर,translation,Actions - Learning
speak slowly,ज्वलायो फोथाय,thusawi zawi,Actions - Learning
speak clearly,गोजौबार फोथाय,thusawi chiang,Actions - Learning
repeat after me,आनाय फराय दावगासे,ka hnuaiah sawi tung,Actions - Learning
listen and repeat,नुं आरो दावगासे,ngai leh tung,Actions - Learning
answer loudly,जोर से उत्तोर,sawi sak,Actions - Learning
write neatly,सु गु खुगोन,ziak thianghlim,Actions - Learning
due,गोनांथि,hun,Assessment & Grades
deadline,अन्तिम बेला,hun tawp,Assessment & Grades
grade,गुणमत्ता,grade,Assessment & Grades
mark,निशान,mark,Assessment & Grades
score,अङ्क,score,Assessment & Grades
pass,सोमोन्दो,ok,Assessment & Grades
fail,नाङा सोमोन्दो,lo ok,Assessment & Grades
excellent,गोजौ लाफा,ṭha tak tak,Assessment & Grades
good job,गोजौ गोब,hna tha,Assessment & Grades
well done,बेयै गोजौ,i ṭha hle,Assessment & Grades
try again,दावगासे नायदोनाय,bei tung,Assessment & Grades
vocabulary,शब्दभण्डार,vocabulary,Grammar & Linguistic Terms
grammar,व्याकरण,grammar,Grammar & Linguistic Terms
verb,क्रिया,verb,Grammar & Linguistic Terms
noun,नाम,noun,Grammar & Linguistic Terms
adjective,विशेषण,adjective,Grammar & Linguistic Terms
adverb,क्रियाविशेषण,adverb,Grammar & Linguistic Terms
pronoun,सर्वनाम,pronoun,Grammar & Linguistic Terms
preposition,पूर्वसर्ग,preposition,Grammar & Linguistic Terms
conjunction,योजक,conjunction,Grammar & Linguistic Terms
article,लेख,article,Grammar & Linguistic Terms
punctuation,विराम चिन्ह,punctuation,Grammar & Linguistic Terms
capital letter,बड़ा अक्षर,capital,Grammar & Linguistic Terms
lowercase,छोटा अक्षर,lowercase,Grammar & Linguistic Terms
alphabet,वर्णमाला,alphabet,Grammar & Linguistic Terms
letter,अक्षर,letter,Grammar & Linguistic Terms
phrase,वाक्यांश,phrase,Grammar & Linguistic Terms
meaning,मानथाय,awmzia,Grammar & Linguistic Terms
synonym,समानार्थी,same word,Grammar & Linguistic Terms
antonym,विलोम,opposite,Grammar & Linguistic Terms
dictionary,शब्दकोश,dictionary,Grammar & Linguistic Terms
thesaurus,पर्यायवाची कोश,synonym book,Grammar & Linguistic Terms
revision,दोबारा होनना,tung zir,Study Techniques
summary,सारांश,summary,Study Techniques
notes,नोट,notes,Study Techniques
highlight,प्रकाश,highlight,Study Techniques
underline,नीचे लाइन,underline,Study Techniques
circle,गोलाकार,circle,Study Techniques
tick,चिन्ह,tick,Study Techniques
cross,क्रॉस,cross,Study Techniques
incorrect,गोजौ नङा,a dik lo,Study Techniques
period,बेला,hun,School Schedule
break,बिरति,break,School Schedule
lunch,सानाय जान,chaw ei,School Schedule
assembly,समूह,assembly,School Schedule
holiday,अवकाश,holiday,School Schedule
vacation,छुट्टी,vacation,School Schedule
timetable,बेला सूची,time table,School Schedule
attendance,उपस्थिति,kal,Attendance & Registration
present,आरो,awm,Attendance & Registration
absent,नाङा आरो,awm lo,Attendance & Registration
late,लेट,tling,Attendance & Registration
permission,अनुमति,permission,Attendance & Registration
register,दर्ज,register,Attendance & Registration
roll number,रोल नम्बर,roll number,Attendance & Registration
id card,पहचान पत्र,ID card,Attendance & Registration
name,मुं,hming,Personal Information
age,बोसोर,kum,Personal Information
gender,लिङ्ग,gender,Personal Information
address,ठिकाना,address,Personal Information
phone,फोन,phone,Personal Information
email,ईमेल,email,Personal Information
guardian,संरक्षक,guardian,Personal Information
parents,बाप-माय,pa-nu,Personal Information
home,घर,in,Geography & Locations
village,गाँव,village,Geography & Locations
town,कसबा,town,Geography & Locations
city,शहर,city,Geography & Locations
state,राज्य,state,Geography & Locations
country,देश,ram,Geography & Locations
map,नक्शा,map,Geography & Locations
street,सड़क,street,Geography & Locations
market,बाजार,market,Geography & Locations
shop,दुकान,shop,Geography & Locations
store,स्टोर,store,Geography & Locations
mother tongue,मातृ भाषा,pa language,Languages
regional language,क्षेत्रीय भाषा,regional,Languages
bodo,बोडो,bodo,Languages
mizo,मिजो,mizo,Languages
translate to,आव अनुवाद,translation,Languages
translate from,नायनो अनुवाद,atanga translation,Languages
discipline,अनुशासन,discipline,Classroom Behavior
respect,आदर,respect,Classroom Behavior
polite,विनम्र,polite,Classroom Behavior
rude,असभ्य,rude,Classroom Behavior
helpful,मददगार,helpful,Classroom Behavior
cooperative,सहयोगी,cooperative,Classroom Behavior
responsible,जिम्मेदार,responsible,Classroom Behavior
punctual,समय पर,on time,Classroom Behavior
honest,ईमानदार,honest,Classroom Behavior
cheat,नकल,cheat,Classroom Behavior
copy,नकल,copy,Classroom Behavior
collaborate,मिलकर काम,together,Classroom Behavior
share,बाँटना,share,Classroom Behavior
take turns,बारी बारी,turn turn,Classroom Behavior
lead,नेतृत्व,lead,Classroom Behavior
follow,पालन,follow,Classroom Behavior
ask permission,अनुमति माँगना,permission zawt,Classroom Behavior
raise hand,हाथ उठाना,kut kalh,Classroom Behavior
confidence,आत्मविश्वास,confidence,Academic Qualities
participation,भागीदारी,participation,Academic Qualities
talent,प्रतिभा,talent,Academic Qualities
skill,कौशल,skill,Academic Qualities
ability,क्षमता,ability,Academic Qualities
strength,शक्ति,strength,Academic Qualities
weakness,कमजोरी,weakness,Academic Qualities
goal,लक्ष्य,goal,Goals & Motivation
dream,सपना,dream,Goals & Motivation
plan,योजना,plan,Goals & Motivation
strategy,रणनीति,strategy,Goals & Motivation
prepare,तैयारी,prepare,Goals & Motivation
improve,सुधार,improve,Goals & Motivation
achieve,प्राप्त,achieve,Goals & Motivation
succeed,सफल,succeed,Goals & Motivation
learn from mistakes,गलती सीखो,mistake learn,Goals & Motivation
never give up,हार मत मानो,give up suh,Goals & Motivation
motivation,प्रेरणा,motivation,Goals & Motivation
inspiration,प्रेरणा,inspiration,Goals & Motivation
role model,आदर्श,role model,Goals & Motivation
me,आंनि,kei,Pronouns - Object Form
him,बि,ama,Pronouns - Object Form
us,बेनि,kan,Pronouns - Object Form
them,बिफांनि,anni,Pronouns - Object Form
whom,सोर,tu,Question Pronouns
being,होयायनाय,ni mek,Verb - BE
been,होयो,ni ta,Verb - BE
having,आरोनाय,nei mek,Verb - HAVE
doing,थां दङ,tih mek,Verb - DO
shall,गोनांथि,tur,Modal Verbs
might,खांनो बाहाय,thei ang,Modal Verbs
want,गोनांथि,duh,Common Verbs
teach,उखार,zirtir hman,Classroom Verbs
draw,गोरसिन,draw,Classroom Verbs
calculate,गणना,chhut,Classroom Verbs
solve,सोलभ थ,chinfel rawh,Classroom Verbs
explain,बुंगोन,sawifiah rawh,Classroom Verbs
describe,फुलफुल गोन,hriazaih rawh,Classroom Verbs
compare,बराबर गोन,zirtlai rawh,Classroom Verbs
check,सायगोन,enfin rawh,Classroom Verbs
over,मुंथाय,a chung,Prepositions
through,गोजौनो,chung ah,Prepositions
during,बेलाथाव,hun lai,Prepositions
below,नामथाय,hniam,Prepositions
near,गुबुनथाव,inkarah,Prepositions
far,गुर मायनो,thang,Prepositions
although,होयो दिनाय,mahse,Conjunctions
while,बेलाथाव,hun lai,Conjunctions
unless,नाङा होयो,aih lo chu chu,Conjunctions
how many,जोबोन नम्बर,engzat,Question Words
how much,जोबोन सान,engzat,Question Words
necessary,गोनांथि,ngai,Adjectives
possible,खांनो,thei,Adjectives
impossible,खांनो नाङा,thei lo,Adjectives
well,गोजौबार,tha takin,Adverbs
badly,गोरलावबार,dik lo takin,Adverbs
carefully,मोनो खालामगोन,ngaihtuah takin,Adverbs
always,हमेशा,zawng zawng,Adverbs
never,कभी नहीं,aih lo,Adverbs
sometimes,कभी कभी,diw diw,Adverbs
often,बारबार,nasa nasa,Adverbs
rarely,कम,hlem,Adverbs
usually,आम तौर पर,nasa zawk,Adverbs
only,केवल,chauh hmain,Adverbs
also,पन,leh,Adverbs
together,मिलकर,khat a ni,Adverbs
here,बिनिथाव,hetah,Adverbs
there,अन्थाय,khatiang,Adverbs
then,तब,chu chu,Adverbs
spelling,स्पेलिंग,spelling,Grammar Terms
out,सोहाय,chhuak,Translation
up,मुंथाय,sang,Translation
down,नामथाय,hniam,Translation
around,गुबुनथाय,pawnah,Translation
outside,बोहाय,kawl tuiloh,Translation
inside,आव गोजौथिनो,chung ah,Translation
left,दिनाय,chhuk,Translation
center,बिसार,taksa,Translation
raise,थोन,kalh rawh,Translation
lower,नामथिनो,hniam rawh,Translation
spell,स्पेलिंग थ,spell rawh,Translation
pronounce,उच्चार थ,sawi dik rawh,Translation
pause,रुकना,khap la rawh,Translation
continue,जारी रखना,chhung zel rawh,Translation
get up,उठ जाना,thawk rawh,Translation
cook,पकाना,chaw siam,Translation
order,ऑर्डर,order,Translation
buy,खरीदना,la,Translation
sell,बेचना,thleng,Translation
pay,भुगतान,sum pe,Translation
download,डाउनलोड,download,Translation
upload,अपलोड,upload,Translation
save,सहेजो,dah rawh,Translation
delete,हटाओ,tih dah rawh,Translation
paste,चिपकाओ,paste siam rawh,Translation
install,स्थापित,install,Translation
login,लॉगिन,login,Translation
logout,लॉगआउट,logout,Translation
schedule,समय सारणी,hun siam,Translation
attend,उपस्थित होना,lo rawh,Translation
arrive,आना,lo,Translation
depart,जाना,kal,Translation
stay,ठहरना,i,Translation
visit,दौरा,en,Translation
travel,यात्रा,kal lo,Translation
warm,गोलाव,lum awl,Translation
cool,गान,vawt awl,Translation
optional,इच्छानुसार,duh hmasa,Translation
required,अनिवार्य,tur,Translation
loud,ऊंचा आवाज,ko leng,Translation
soft,नरम,hlim,Translation
quiet,शांत,dâwiin,Translation
noisy,शोरगुल,ko leng,Translation
dark,अंधकार,dum,Translation
wet,भीगा,tui kaih,Translation
dry,सूखा,khup,Translation
full,भरा,kumhel,Translation
empty,खाली,awl ang,Translation
hard,कठोर,chi,Translation
rough,खुरदुरा,sual,Translation
smooth,चिकना,thianghlim,Translation
sharp,तेज,chak,Translation
dull,मंद,lo chak,Translation
sweet,मीठा,mithei,Translation
sour,खट्टा,chhe,Translation
bitter,कड़वा,ka,Translation
salty,नमकीन,chi,Translation
spicy,तीखा,ka,Translation
fresh,ताजा,thar,Translation
rotten,सड़ा,thit,Translation
tall,लंबा,sang,Translation
wide,चौड़ा,sang lei,Translation
narrow,संकीर्ण,tawi lei,Translation
closed,बंद,khum,Translation
expensive,महंगा,sum leng,Translation
cheap,सस्ता,sum nung,Translation
attention,ध्यान,ngaithla,Translation
gray,सोहाय रोङ,var dum,Translation
gold,सुनहरा,senai,Translation
silver,चाँदी,silfar,Translation
color,रंग,sen,Translation
square,चौकोर,square,Translation
triangle,सामफोर,triangle,Translation
rectangle,आयत,rectangle,Translation
line,लाइन,line,Translation
shape,आकृति,shape,Translation
size,आकार,size,Translation
weight,वजन,rit,Translation
length,लंबाई,sei,Translation
height,ऊंचाई,sang,Translation
width,चौड़ाई,lei,Translation
depth,गहराई,um,Translation
area,क्षेत्रफल,hmun zat,Translation
volume,आयतन,vol,Translation
thousand,हजार,za nget,Translation
million,दस लाख,million,Translation
second,सेकंड,second,Translation
third,तीसरा,pathumna,Translation
previous,पिछला,hmain la,Translation
presentation,प्रस्तुति,presentation,Translation
assignment,कार्य,thawk,Translation
report,रिपोर्ट,report,Translation
quiz,प्रश्नोत्तरी,quiz,Translation
example sentence,उदाहरण वाक्य,sentence example,Translation
practice question,अभ्यास प्रश्न,practice zawhna,Translation
term,अवधि,term,Translation
semester,सेमेस्टर,semester,Translation
yearly,वार्षिक,kum,Translation
monthly,मासिक,thla,Translation
weekly,साप्ताहिक,kar,Translation
daily,दैनिक,ni,Translation
later,बाद में,hnua la,Translation
soon,जल्द,tui zet,Translation
immediate,तुरंत,nisa,Translation
family,परिवार,pui,Translation
capital,राजधानी,khawpui ber,Translation
bank,बैंक,bank,Translation
post office,डाकघर,post office,Translation
hospital,अस्पताल,hospital,Translation
clinic,क्लिनिक,clinic,Translation
pharmacy,दवाखाना,pharmacy,Translation
police station,पुलिस स्टेशन,police station,Translation
fire station,अग्निशमन स्टेशन,fire station,Translation
bus stop,बस स्टॉप,bus stop,Translation
train station,रेलवे स्टेशन,train station,Translation
airport,हवाई अड्डा,airport,Translation
station,स्टेशन,station,Translation
vehicle,वाहन,motor,Translation
bus,बस,bus,Translation
train,ट्रेन,train,Translation
motorbike,मोटरबाइक,motorbike,Translation
truck,ट्रक,truck,Translation
taxi,टैक्सी,taxi,Translation
ship,जहाज,ship,Translation
plane,हवाई जहाज,plane,Translation
ticket,टिकट,ticket,Translation
fare,किराया,thlan,Translation
trip,यात्रा,trip,Translation
journey,यात्रा,journey,Translation
food,खाना,chaw,Translation
coffee,कॉफी,coffee,Translation
juice,जूस,juice,Translation
spice,मसाला,ka,Translation
breakfast,नाश्ता,zing chaw,Translation
dinner,रात का खाना,zan chaw,Translation
snack,नाश्ता,chaw te,Translation
menu,मेनू,menu,Translation
price,कीमत,thlan,Translation
vegetarian,शाकाहारी,thing hring ei,Translation
customer,ग्राहक,customer,Translation
receipt,रसीद,receipt,Translation
bill,बिल,bill,Translation
wallet,बटुआ,wallet,Translation
shirt,शर्ट,shirt,Translation
pants,पैंट,pants,Translation
skirt,स्कर्ट,skirt,Translation
dress,ड्रेस,dress,Translation
socks,मोजे,socks,Translation
cap,कैप,cap,Translation
bottle,बोतल,bottle,Translation
glass,गिलास,glass,Translation
fork,कांटा,fork,Translation
definition,परिभाषा,definition,Translation
pronunciation,उच्चारण,pronunciation,Translation
translation,अनुवाद,translate,Translation
label,लेबल,label,Translation
diagram,आरेख,diagram,Translation
contrast,विपरीत करो,se cia siam rawh,Translation
analyse,विश्लेषण करो,zir thang rawh,Translation
summarize,सारांश दो,summary siam rawh,Translation
predict,भविष्यवाणी करो,hmachuah siam rawh,Translation
hypothesis,परिकल्पना,hypothesis,Translation
experiment,प्रयोग,experiment,Translation
observe,देखो,en rawh,Translation
measure,मापो,teh rawh,Translation
record,दर्ज करो,ziak rawh,Translation
data,आंकड़े,data,Translation
graph,ग्राफ,graph,Translation
table,तालिका,table,Translation
chart,चार्ट,chart,Translation
model,मॉडल,model,Translation
material,सामग्री,material,Translation
tool,उपकरण,tool,Translation
equipment,उपकरण,equipment,Translation
safety,सुरक्षा,safety,Translation
rule,नियम,rule,Translation
instruction,निर्देश,instruction,Translation
direction,दिशा,kawng,Translation
procedure,प्रक्रिया,procedure,Translation
method,विधि,method,Translation
conclusion,निष्कर्ष,conclusion,Translation
discussion,चर्चा,discussion,Translation
presentation skills,प्रस्तुति कौशल,presentation skills,Translation
behaviour,व्यवहार,behaviour,Translation
marking,अंकन,marking,Translation
feedback,प्रतिक्रिया,feedback,Translation
comment,टिप्पणी,comment,Translation
technology,तकनीक,technology,Translation
website,वेबसाइट,website,Translation
internet,इंटरनेट,internet,Translation
offline,ऑफलाइन,offline,Translation
online,ऑनलाइन,online,Translation
message,संदेश,message,Translation
chat,चैट,chat,Translation
video call,वीडियो कॉल,video call,Translation
camera,कैमरा,camera,Translation
microphone,माइक्रोफोन,microphone,Translation
speaker,स्पीकर,speaker,Translation
screen,स्क्रीन,screen,Translation
keyboard,कीबोर्ड,keyboard,Translation
mouse,माउस,mouse,Translation
printer,प्रिंटर,printer,Translation
scanner,स्कैनर,scanner,Translation
usb,यूएसबी,USB,Translation
file,फाइल,file,Translation
folder,फोल्डर,folder,Translation
document,दस्तावेज़,document,Translation
open file,फाइल खोलो,file hawng rawh,Translation
password,पासवर्ड,password,Translation
username,उपयोगकर्ता नाम,username,Translation
settings,सेटिंग्स,settings,Translation
app,ऐप,app,Translation
because of,कारण से,chuvang,Translation
in order to,ताकि,chuvang,Translation
as if,जैसे,ngai thla,Translation
as long as,जब तक,hun lai,Translation
as soon as,जैसे ही,chu chu,Translation
even if,भले ही,chu chu dey,Translation
however,हालांकि,mahse,Translation
therefore,इसलिए,chuvang,Translation
thus,इस प्रकार,chuvang,Translation
besides,इसके अलावा,a thui le,Translation
moreover,इसके अलावा,a thui le,Translation
many,बहुत,nasa,Translation
all,सब,zawng zawng,Translation
some,कुछ,emaw,Translation
none,कोई नहीं,aih,Translation
every,हर,kumsa kumsa,Translation
each,प्रत्येक,kumsa kumsa,Translation
both,दोनों,pahnih,Translation
either,कोई भी,emaw,Translation
neither,न तो,aih loah,Translation
another,और,dang,Translation
ok,ठीक,ok,Translation
agreed,सहमत,ok ta,Translation
disagree,असहमत,dik lo,Translation
बे,the,chu,Translation
सै,a,pakhat,Translation
आव,in,chungah,Translation
आव गुबुन,on,chunga,Translation
नि,of,ta,Translation
नायनो,from,atanga,Translation
लानो,with,nen,Translation
बानाय,without,telin,Translation
जों,by,hmangin,Translation
आव गोजौथिनो,into,chung ah,Translation
मुंथाय,over,a chung,Translation
सोहाय,out,chhuak,Translation
नामथाय,down,hniam,Translation
दो आव गुबुनथाव,between,inkarah,Translation
गुबुनसोनो,among,khaw chunga,Translation
आगाथाव,before,hmain,Translation
उनाव,after,hnua,Translation
गुबुनथाय,around,pawnah,Translation
बोहाय,outside,kawl tuiloh,Translation
गुबुनथाव,near,inkarah,Translation
गुर मायनो,far,thang,Translation
दिनाय,left,chhuk,Translation
गोजौ,right,dik,Translation
बिसार,center,taksa,Translation
आं,I,kei,Translation
नं,you,nang,Translation
बि,he,ama,Translation
बिफां,they,anni,Translation
आंनि,me,kei,Translation
बिनि,her,a,Translation
बेनि,us,kan,Translation
बिफांनि,them,anni,Translation
नंनि,your,i,Translation
सोर,who,tu,Translation
मो,which,eng nge,Translation
सोरनि,whose,tu ta,Translation
होयो,be,ni,Translation
आरो,have,nei,Translation
थां,do,tih,Translation
लाबो,come,lo,Translation
फार,say,sawi,Translation
सिर्गुन,make,siam,Translation
मुंनो,get,lo,Translation
दों,give,pe rawh,Translation
खाय,take,lo la,Translation
नायदोन,see,hmu,Translation
मोजान,know,hrethiam,Translation
मोनो होयो,think,thiam,Translation
गोनांथि,want,duh,Translation
बाहाय,use,hman,Translation
खोजो,find,hmuh rawh,Translation
गोब थ,work,thawk,Translation
कॉल,call,call,Translation
नायदोनाय,try,bei,Translation
छुट्टी,leave,dah,Translation
राखा,put,siam,Translation
मानथाय दङ,mean,awmzia,Translation
हायो,let,thei,Translation
होनना,begin,tan,Translation
मदद थ,help,tihdam rawh,Translation
फोथाय,talk,sawi,Translation
मोनो दङ,feel,lung,Translation
नायदोन दङ,seem,ngaithla,Translation
पाठ,read,chhiar,Translation
लिर,write,ziak,Translation
नुं,listen,ngai,Translation
उखार,teach,zirtir hman,Translation
खुला,open,hawng,Translation
बोन,close,khum rawh,Translation
फुं,sit,thu,Translation
दिंना,stand,ding,Translation
जाबाय,walk,kal,Translation
रेबगोन,run,tlan,Translation
थोन,raise,kalh rawh,Translation
नामथिनो,lower,hniam rawh,Translation
गोरसिन,draw,draw,Translation
गणना करो,calculate,chhut rawh,Translation
हल करो,solve,chinfel rawh,Translation
समझाओ,explain,sawifiah rawh,Translation
वर्णन करो,describe,hriazaih rawh,Translation
तुलना करो,compare,zirtlai rawh,Translation
सायगोन,check,enfin rawh,Translation
अनुवाद थ,translate,translate rawh,Translation
स्पेलिंग थ,spell,spell rawh,Translation
उच्चार थ,pronounce,sawi dik rawh,Translation
चिन्ह थ,highlight,sign rawh,Translation
रेखा खींचना,underline,line rawh,Translation
गोल,circle,thiangvawl,Translation
निशान लगाना,tick,sign rawh,Translation
खींचना,cross,kawng rawh,Translation
सुपुर्द करना,submit,pe rawh,Translation
आगे बढना,lead,hmun hnuai rawh,Translation
पीछे चलना,follow,hnua a kal rawh,Translation
साझा करो,share,sem rawh,Translation
रुकना,stop,chhap rawh,Translation
शुरू करना,start,tan rawh,Translation
जारी रखना,continue,chhung zel rawh,Translation
पूछना,ask,zawt rawh,Translation
जवाब,answer,chhan,Translation
ध्यान से सुनना,listen carefully,ngai thil takin,Translation
ध्यान देना,pay attention,ngaithla rawh,Translation
दोहराना,repeat,nawn rawh,Translation
जोर से पढना,read aloud,chhiar rawh,Translation
चुप पढना,silent reading,dâwiin chhiar rawh,Translation
समूह में काम,group work,group thawk rawh,Translation
जोड़ी में काम,pair work,paihra thawk rawh,Translation
परियोजना काम,project work,project thawk rawh,Translation
जाग जाना,wake up,tho rawh,Translation
उठ जाना,get up,thawk rawh,Translation
सोना,sleep,mut rawh,Translation
पकाना,cook,chaw siam,Translation
ऑर्डर,order,order,Translation
खरीदना,buy,la,Translation
बेचना,sell,thleng,Translation
भुगतान,pay,sum pe,Translation
डाउनलोड,download,download,Translation
अपलोड,upload,upload,Translation
सहेजो,save,dah rawh,Translation
हटाओ,delete,tih dah rawh,Translation
नकल करो,copy,copy siam rawh,Translation
चिपकाओ,paste,paste siam rawh,Translation
स्थापित,install,install,Translation
लॉगिन,login,login,Translation
लॉगआउट,logout,logout,Translation
पंजीकरण,register,register,Translation
समय सारणी,schedule,hun siam,Translation
उपस्थित होना,attend,lo rawh,Translation
आना,arrive,lo,Translation
जाना,depart,kal,Translation
ठहरना,stay,i,Translation
दौरा,visit,en,Translation
यात्रा,travel,kal lo,Translation
गोरलाव,bad,tha lo,Translation
गोडां,big,lian,Translation
गिदिर,small,te,Translation
गोनां आव,new,thar,Translation
बुजुर्ग,old,ni tang,Translation
फोरां,fast,chak,Translation
लायो,slow,zawi,Translation
सालां,easy,fiam,Translation
नाङथाइ,difficult,huna,Translation
गोलाव,hot,lum,Translation
गान,cold,vawt,Translation
जौगा,long,sei,Translation
छोटा,short,tawi,Translation
मुंथाइ,high,sang,Translation
नामथाइ,low,hniam,Translation
गोनां,happy,hlim,Translation
दुःख,sad,ngai dam,Translation
सुगु,clean,thianghlim,Translation
मायरा,dirty,bo,Translation
गुसुम,strong,chakawm,Translation
बोसोर,weak,tawtchhuah,Translation
मोनो,wrong,dik lo,Translation
बे दिनाय नां,same,dik leiah,Translation
बे दिनाय,different,se cia,Translation
गोनां लै,important,pawimawh,Translation
इच्छानुसार,optional,duh hmasa,Translation
अनिवार्य,required,tur,Translation
भद्र,polite,hlim,Translation
अशिष्ट,rude,bo hlim,Translation
सहायक,helpful,tihdam bik,Translation
सहयोगी,cooperative,khat theuh,Translation
जिम्मेदार,responsible,enkawl a tlaih,Translation
समय पर,punctual,hun dik,Translation
सच्चा,honest,an dik,Translation
ऊंचा आवाज,loud,ko leng,Translation
नरम,soft,hlim,Translation
शांत,quiet,dâwiin,Translation
शोरगुल,noisy,ko leng,Translation
अंधकार,dark,dum,Translation
भीगा,wet,tui kaih,Translation
सूखा,dry,khup,Translation
भरा,full,kumhel,Translation
खाली,empty,awl ang,Translation
भारी,heavy,rit,Translation
हल्का,light,awlsam,Translation
कठोर,hard,chi,Translation
खुरदुरा,rough,sual,Translation
चिकना,smooth,thianghlim,Translation
तेज,sharp,chak,Translation
मंद,dull,lo chak,Translation
मीठा,sweet,mithei,Translation
खट्टा,sour,chhe,Translation
कड़वा,bitter,ka,Translation
नमकीन,salty,chi,Translation
तीखा,spicy,ka,Translation
ताजा,fresh,thar,Translation
सड़ा,rotten,thit,Translation
युवा,young,tinah,Translation
लंबा,tall,sang,Translation
चौड़ा,wide,sang lei,Translation
संकीर्ण,narrow,tawi lei,Translation
बंद,closed,khum,Translation
महंगा,expensive,sum leng,Translation
सस्ता,cheap,sum nung,Translation
बेहतरीन,excellent,tha tak,Translation
अच्छा किया,well done,thawk tha,Translation
अच्छा काम,good job,tha tak,Translation
फिर कोशिश करो,try again,bei thawh ang,Translation
सुधार,improve,tihchangtlun rawh,Translation
ध्यान,focus,ngaithla,Translation
लुबा,red,sen,Translation
गुनाउ,blue,dum hring,Translation
गिसिन,green,hring,Translation
खुंगा,black,dum,Translation
फुथार,white,var,Translation
नारेङ्गि रोङ,orange,orange,Translation
गुलाफि,pink,pink,Translation
दाम रोङ,brown,vawk,Translation
बेगुनि,purple,sen dum,Translation
सोहाय रोङ,gray,var dum,Translation
सुनहरा,gold,senai,Translation
चाँदी,silver,silfar,Translation
रंग,color,sen,Translation
चौकोर,square,square,Translation
सामफोर,triangle,triangle,Translation
आयत,rectangle,rectangle,Translation
लाइन,line,line,Translation
आकृति,shape,shape,Translation
आकार,size,size,Translation
वजन,weight,rit,Translation
लंबाई,length,sei,Translation
ऊंचाई,height,sang,Translation
चौड़ाई,width,lei,Translation
गहराई,depth,um,Translation
क्षेत्रफल,area,hmun zat,Translation
आयतन,volume,vol,Translation
नम्बर,number,phal,Translation
नै,two,pahnih,Translation
थाम,three,pathum,Translation
ब्राय,four,pali,Translation
बा,five,panga,Translation
रो,six,ruk,Translation
श्नि,seven,sarih,Translation
जात,eight,riat,Translation
स्कौ,nine,kua,Translation
दस,ten,sawm,Translation
कुइ,twenty,sawm pahnih,Translation
तिनकुइ,thirty,sawm thum,Translation
ब्राइकुइ,forty,sawm pali,Translation
बायकुइ,fifty,sawm panga,Translation
हजार,thousand,za nget,Translation
दस लाख,million,million,Translation
गिबि,first,hmasa,Translation
सेकंड,second,second,Translation
तीसरा,third,pathumna,Translation
आगामी,next,hnua la,Translation
पिछला,previous,hmain la,Translation
स्कुल,school,school,Translation
कखा,classroom,classroom,Translation
परिसर,campus,campus,Translation
सुबुं,student,zirlaite,Translation
प्रधानाचार्य,principal,sorkar,Translation
कोच,coach,coach,Translation
गृहशिक्षक,tutor,tutor,Translation
मार्गदर्शक,mentor,guide,Translation
सहपाठी,classmate,classroom midang,Translation
गिबिर,friend,thian,Translation
किताब,book,lehkhabu,Translation
कलम,pen,pen,Translation
पेंसिल,pencil,pencil,Translation
फोरमा,notebook,lehkhabu,Translation
तेबुल,desk,tawltlang,Translation
फुंसा,chair,tumbawh,Translation
